name,region,subdivision,country
hermitage ou ermitage,vallée du Rhône,,France
irancy,Bourgogne,Basse-Bourgogne,France
irouléguy,Sud-Ouest,,France
jasnières,vallée de la Loire,,France
juliénas,Beaujolais,,France
jurançon,Sud-Ouest,,France
l'étoile,Jura,,France
la-grande-rue,Bourgogne,côte de Nuits,France
la-romanée,Bourgogne,côte de Nuits,France
la-tâche,Bourgogne,côte de Nuits,France
ladoix,Bourgogne,côte de Beaune,France
lalande-de-pomerol,Bordeaux,,France
languedoc,Languedoc,,France
latricières-chambertin,Bourgogne,côte de Nuits,France
les-baux-de-provence,Provence,,France
limoux,Languedoc,,France
lirac,vallée du Rhône,,France
listrac-médoc,Bordeaux,Médoc,France
loupiac,Bordeaux,,France
luberon,vallée du Rhône,,France
lussac-saint-émilion,Bordeaux,,France
mâcon,Bourgogne,Mâconnais,France
madiran,Sud-Ouest,,France
malepère,Languedoc,,France
maranges,Bourgogne,côte de Beaune,France
marcillac,Sud-Ouest,,France
margaux,Bordeaux,Médoc,France
marsannay,Bourgogne,côte de Nuits,France
maury,Roussillon,,France
mazis-chambertin,Bourgogne,côte de Nuits,France
mazoyères-chambertin,Bourgogne,côte de Nuits,France
médoc,Bordeaux,Médoc,France
menetou-salon,vallée de la Loire,,France
mercurey,Bourgogne,côte chalonnaise,France
meursault,Bourgogne,côte de Beaune,France
minervois,Languedoc,,France
minervois-la-livinière,Languedoc,,France
monbazillac,Sud-Ouest,,France
montagne-saint-émilion,Bordeaux,,France
montagny,Bourgogne,côte chalonnaise,France
monthélie,Bourgogne,côte de Beaune,France
montlouis-sur-loire,vallée de la Loire,,France
montrachet,Bourgogne,côte de Beaune,France
montravel,Sud-Ouest,,France
morey-saint-denis,Bourgogne,côte de Nuits,France
morgon,Beaujolais,,France
moselle4,Lorraine,,France
moulin-à-vent,Beaujolais,,France
moulis ou moulis-en-médoc,Bordeaux,Médoc,France
muscadet,vallée de la Loire,Vignoble nantais,France
muscadet-coteaux-de-la-loire,vallée de la Loire,Vignoble nantais,France
muscadet-côtes-de-grandlieu,vallée de la Loire,Vignoble nantais,France
muscadet-sèvre-et-maine,vallée de la Loire,Vignoble nantais,France
muscat de Beaumes-de-Venise,vallée du Rhône,,France
muscat de Frontignan ou vin de Frontignan,Languedoc,,France
muscat de Lunel,Languedoc,,France
muscat de Mireval,Languedoc,,France
muscat de Rivesaltes,Roussillon,,France
muscat de Saint-Jean-de-Minervois,Languedoc,,France
muscat du Cap-Corse,Corse,,France
musigny,Bourgogne,côte de Nuits,France
néac,Bordeaux,,France
nuits-saint-georges,Bourgogne,côte de Nuits,France
orléans,vallée de la Loire,,France
orléans-cléry,vallée de la Loire,,France
pacherenc-du-vic-bilh,Sud-Ouest,,France
palette,Provence,,France
patrimonio,Corse,,France
pauillac,Bordeaux,Médoc,France
pécharmant,Sud-Ouest,,France
pernand-vergelesses,Bourgogne,côte de Beaune,France
pessac-léognan,Bordeaux,Graves,France
petit-chablis,Bourgogne,Basse-Bourgogne,France
pierrevert,Provence,,France
pomerol,Bordeaux,,France
pommard,Bourgogne,côte de Beaune,France
pouilly-fuissé,Bourgogne,Mâconnais,France
pouilly-fumé ou blanc-fumé de Pouilly,vallée de la Loire,,France
pouilly-loché,Bourgogne,Mâconnais,France
pouilly-sur-loire,vallée de la Loire,,France
pouilly-vinzelles,Bourgogne,Mâconnais,France
premières-côtes-de-bordeaux,Bordeaux,,France
puisseguin-saint-émilion,Bordeaux,,France
puligny-montrachet,Bourgogne,côte de Beaune,France
quarts-de-chaume,vallée de la Loire,,France
quincy,vallée de la Loire,,France
rasteau,vallée du Rhône,,France
régnié,Beaujolais,,France
reuilly,vallée de la Loire,,France
richebourg,Bourgogne,côte de Nuits,France
rivesaltes,Roussillon,,France
romanée-conti,Bourgogne,côte de Nuits,France
romanée-saint-vivant,Bourgogne,côte de Nuits,France
rosé d'Anjou,vallée de la Loire,,France
rosé de Loire,vallée de la Loire,,France
rosé des Riceys,Champagne,,France
rosette,Sud-Ouest,,France
roussette de Savoie,Savoie,,France
roussette du Bugey,Bugey,,France
ruchottes-chambertin,Bourgogne,côte de Nuits,France
rully,Bourgogne,côte chalonnaise,France
saint-amour,Beaujolais,,France
saint-aubin,Bourgogne,côte de Beaune,France
saint-bris,Bourgogne,Basse-Bourgogne,France
saint-chinian,Languedoc,,France
saint-émilion,Bordeaux,,France
saint-émilion grand cru,Bordeaux,,France
saint-estèphe,Bordeaux,Médoc,France
saint-georges-saint-émilion,Bordeaux,,France
saint-joseph,vallée du Rhône,,France
saint-julien,Bordeaux,Médoc,France
saint-nicolas-de-bourgueil,vallée de la Loire,,France
saint-péray,vallée du Rhône,,France
saint-pourçain,vallée de la Loire,,France
saint-romain,Bourgogne,côte de Beaune,France
saint-véran,Bourgogne,Mâconnais,France
sainte-croix-du-mont,Bordeaux,,France
sainte-foy-bordeaux,Bordeaux,,France
sancerre,vallée de la Loire,,France
santenay,Bourgogne,côte de Beaune,France
saumur,vallée de la Loire,Anjou,France
saumur-champigny,vallée de la Loire,Anjou,France
saussignac,Sud-Ouest,,France
sauternes,Bordeaux,Sauternais,France
savennières,vallée de la Loire,Anjou,France
savigny-lès-beaune,Bourgogne,côte de Beaune,France
seyssel,Savoie et Bugey,,France
tavel,vallée du Rhône,,France
touraine,vallée de la Loire,Touraine,France
touraine-noble-joué,vallée de la Loire,Touraine,France
vacqueyras,vallée du Rhône,,France
valençay,vallée de la Loire,,France
ventoux,vallée du Rhône,,France
vin de Savoie ou savoie,Savoie,,France
vinsobres,vallée du Rhône,,France
viré-clessé,Bourgogne,Mâconnais,France
volnay,Bourgogne,côte de Beaune,France
vosne-romanée,Bourgogne,côte de Nuits,France
vougeot,Bourgogne,côte de Nuits,France
vouvray,vallée de la Loire,Touraine,France
